MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
16.1,31.6,48.4,91,22,30,84,30,994,990.7,22.5,31.2,1,0
17.3,24,0,35,15,20,43,69,1017.3,1016.5,21.2,21.7,0,1
13.3,20.9,0,33,13,17,50,63,1022.4,1020.6,17,19.1,0,0
14.1,18.7,21.6,83,28,39,58,48,996.1,1004.5,16,18,1,0
12.4,19,0,54,13,22,53,32,1020.6,1021,15.4,18.5,0,0
15.6,23,0,35,7,26,63,65,1028.6,1025.1,19.3,21,0,0
19.9,23.6,0,48,7,11,85,76,1012,1008.7,20.7,22.8,0,0
14.9,22.2,2.8,33,13,20,73,53,1024.2,1021.2,19,21.6,1,0
15.3,20.6,10.4,41,13,13,90,77,1031.1,1029.3,17,19.9,1,1
12.3,20.9,0,30,0,15,73,70,1033.8,1031.3,17.1,20.1,0,0
17.6,24.4,7.6,30,9,11,82,72,1019,1018,20.9,23.8,1,0
8.4,18.5,0,33,11,9,62,41,1021.9,1017.7,13,17.5,0,0
18.2,24.8,0,44,17,35,66,67,1021,1015.3,21,22.4,0,0
19.7,26.1,0,26,7,20,74,71,1015.9,1014.3,23.7,25.5,0,0
6.6,15.7,0,19,6,7,59,45,1020.4,1017.6,11.6,14.5,0,0
16.8,23.8,0,35,9,17,69,67,1018.7,1015,21.6,22.2,0,0
16.6,22.8,0.2,22,7,9,65,58,1020.7,1017.8,19.5,22,0,0
15.5,16.3,10,46,13,13,95,92,1020.9,1018.7,15.8,15.8,1,1
14.4,19,0.8,48,17,19,82,95,1017.6,1011.5,15.7,15.2,0,1
8.2,14.4,0,56,20,33,60,60,1023,1020.3,10.6,13.5,0,0
20.5,25.7,0,48,20,33,80,83,1019.6,1017.3,24.6,24.9,0,0
15.6,26.7,0,50,15,39,67,80,1018.8,1014.1,19.5,20.1,0,0
21.5,29.7,0,39,15,11,57,55,1008.3,1007.4,25.1,28.3,0,1
11,24,0,41,6,11,56,70,1024.2,1018.8,18,18.9,0,0
17.3,21.7,0,41,22,17,56,62,1019.7,1017.5,20.2,21.2,0,0
16.1,22.7,0,35,19,19,52,49,1028.1,1027,19.1,21.5,0,0
16.3,18.8,0,70,30,22,72,68,1017.9,1017.8,16.9,17.5,0,0
9.2,17.7,2.8,39,11,9,53,39,1018.4,1013.4,14,17.2,1,0
23.5,29.7,0,65,6,19,66,81,1007.8,1006,27.5,25.8,0,1
18,24.8,0,31,15,15,82,80,1018,1014.4,21.9,23,0,0
12.5,18.1,6.6,57,19,30,78,73,1007.7,1010.4,14.4,17.2,1,1
9.2,15.8,0,44,17,15,55,40,1021.6,1021,11.7,15.5,0,0
13.4,22.1,0,59,22,44,57,67,1024.3,1019.1,18.8,19.9,0,0
15,26.5,0,50,9,26,66,66,1025.5,1021.3,19.2,21.3,0,0
10.3,14.9,0,43,24,20,66,62,1024.7,1021.6,12.9,14.2,0,0
16.6,24,0,43,13,31,66,66,1017.3,1015.3,22,23.4,0,0
19,24.9,0,35,22,30,68,73,1018.5,1018.1,22.6,24.1,0,0
21.4,23.7,10.6,44,33,26,87,76,1007.7,1009.1,21.5,22.5,1,1
17.2,30.9,0,70,11,28,26,17,1018.1,1014.1,23.9,29.8,0,0
20.2,25.5,0,57,17,35,74,72,1015.6,1011.3,23.9,24.9,0,0
16.9,22.4,0.4,35,9,20,85,72,1013.8,1015,19.3,21.1,0,0
19.4,25.8,0,35,9,9,56,57,1012.8,1010.1,23.3,23.3,0,1
18.1,23.6,0,54,19,43,72,77,1012,1007.1,22.2,22.8,0,0
16.5,20.7,0.4,48,15,15,83,91,1022.5,1020.5,18.1,17.9,0,1
12.2,18.3,3,39,15,11,77,61,1020.8,1018.7,15,17,1,0
15.3,22.9,0,31,7,9,74,73,1022.4,1018.2,20.5,21.7,0,0
13.8,18.6,1.6,44,15,30,77,84,1018,1023.8,17.8,16.6,1,0
13,17.3,13.4,91,48,63,91,83,1019.2,1022.4,15.9,14.6,1,1
19.4,24.8,0,56,11,46,66,69,1018.7,1013.3,21.3,23.8,0,0
11.7,15.8,0,56,41,26,54,51,1027.2,1027,13.8,15.4,0,0
16.3,23.4,0.6,43,7,22,50,54,1017.1,1014.6,19.8,22.4,0,0
17.8,24.3,0.6,31,0,20,78,75,1013.4,1009.4,20.5,23.4,0,0
21,23.9,0,50,35,31,69,61,1022.3,1022.5,22,22.7,0,1
14.4,21.3,0,33,2,19,69,63,1021.8,1020.3,17.7,19.3,0,1
11.8,18.2,0,41,13,31,75,80,1023.3,1024.5,16.4,16.2,0,0
17.9,23.1,0.2,50,19,41,63,72,1019.5,1015.6,21.6,22.4,0,1
18.3,23.3,0,52,22,19,82,85,1014.2,1010.1,21.3,20.9,0,0
14.7,20.1,29,39,13,11,93,87,1015.1,1014.2,17.2,17.8,1,1
13.3,17.8,0,57,9,20,72,84,1022.6,1023.3,17.5,16.9,0,0
10.7,18.8,0,37,6,15,52,44,1011.8,1008.8,14.5,17.8,0,0
15.4,20.3,0,44,7,7,60,71,1005.6,1006.7,18.6,16.5,0,1
11.6,16.5,2,50,30,30,80,81,1023.1,1021.9,14,15.4,1,1
12,18.8,0,31,15,7,51,48,1018.1,1014,16,18.4,0,0
14.6,19.3,0,39,26,22,66,63,1018,1016,16.9,18.9,0,0
13.9,22.4,0,50,20,20,46,46,1012.3,1012.1,15.9,20.5,0,0
10.6,18.7,0,56,30,22,50,28,1016.8,1016.9,14.2,18,0,0
17.4,27.9,0.4,57,15,20,48,70,1015.5,1013.2,24.3,20,0,1
9.5,18.5,0,81,2,30,61,41,1004.3,1003.5,15,17.6,0,0
